num_of_agents,num_of_items,value_noise_ratio,beta,delta,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
10,4,0,5,{0.001},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03043939999770373
10,4,0,5,{0.001},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.028834299999289215
10,4,0,5,{0.001},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0323214999953052
10,4,0,5,{0.001},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.02921059999789577
10,4,0,5,{0.34},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01634959998773411
10,4,0,5,{0.34},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015361499987193383
10,4,0,5,{0.34},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014132099997368641
10,4,0,5,{0.34},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01449460000731051
10,4,0,5,{0.34},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014262999990023673
10,4,0,5,{0.5},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014049499994143844
10,4,0,5,{0.5},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014737600009539165
10,4,0,5,{0.5},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014796999996178783
10,4,0,5,{0.5},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014171300004818477
10,4,0,5,{0.5},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015065799991134554
10,4,0,5,{0.8},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015462600000319071
10,4,0,5,{0.8},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014540999996825121
10,4,0,5,{0.8},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014475000003585592
10,4,0,5,{0.8},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01593620001222007
10,4,0,5,{0.8},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015868899994529784
10,4,0,5,{0.9},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016453700009151362
10,4,0,5,{0.9},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016472200004500337
10,4,0,5,{0.9},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015210499987006187
10,4,0,5,{0.9},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016233599992119707
10,4,0,5,{0.9},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01499020001210738
10,4,0.2,0.001,{0.001},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0324181000032695
10,4,0.2,0.001,{0.001},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.032953299989458174
10,4,0.2,0.001,{0.001},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03471910000371281
10,4,0.2,0.001,{0.001},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.031084299989743158
10,4,0.2,0.001,{0.001},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03248599999642465
10,4,0.2,0.001,{0.34},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016272699998808093
10,4,0.2,0.001,{0.34},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01780309999594465
10,4,0.2,0.001,{0.34},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.023828599994885735
10,4,0.2,0.001,{0.34},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01523770000494551
10,4,0.2,0.001,{0.34},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01838310000312049
10,4,0.2,0.001,{0.5},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015325200001825579
10,4,0.2,0.001,{0.5},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.017394499998772517
10,4,0.2,0.001,{0.5},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015839300001971424
10,4,0.2,0.001,{0.5},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.019895400007953867
10,4,0.2,0.001,{0.5},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.019155500005581416
10,4,0.2,0.001,{0.8},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015120500000193715
10,4,0.2,0.001,{0.8},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016921900009037927
10,4,0.2,0.001,{0.8},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01683480000065174
10,4,0.2,0.001,{0.8},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016151299991179258
10,4,0.2,0.001,{0.8},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014484400002402253
10,4,0.2,0.001,{0.9},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015442699994309805
10,4,0.2,0.001,{0.9},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015526000002864748
10,4,0.2,0.001,{0.9},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01463230000808835
10,4,0.2,0.001,{0.9},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013714799992158078
10,4,0.2,0.001,{0.9},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016361800007871352
10,4,0.2,0.1,{0.001},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.032848699993337505
10,4,0.2,0.1,{0.001},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0299656999995932
10,4,0.2,0.1,{0.001},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03203489999577869
10,4,0.2,0.1,{0.001},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03075150000222493
10,4,0.2,0.1,{0.001},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029357699997490272
10,4,0.2,0.1,{0.34},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016242500001681037
10,4,0.2,0.1,{0.34},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015897499994025566
10,4,0.2,0.1,{0.34},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01763580000260845
10,4,0.2,0.1,{0.34},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01587219999055378
10,4,0.2,0.1,{0.34},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01508060000196565
10,4,0.2,0.1,{0.5},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015484100003959611
10,4,0.2,0.1,{0.5},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01691769999160897
10,4,0.2,0.1,{0.5},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01402639999287203
10,4,0.2,0.1,{0.5},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014817699993727729
10,4,0.2,0.1,{0.5},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01582559999951627
10,4,0.2,0.1,{0.8},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016189999994821846
10,4,0.2,0.1,{0.8},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015655099996365607
10,4,0.2,0.1,{0.8},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014225999999325722
10,4,0.2,0.1,{0.8},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015019799990113825
10,4,0.2,0.1,{0.8},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015427699996507727
10,4,0.2,0.1,{0.9},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01497080000990536
10,4,0.2,0.1,{0.9},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.019656700009363703
10,4,0.2,0.1,{0.9},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.02595379999547731
10,4,0.2,0.1,{0.9},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01544139999896288
10,4,0.2,0.1,{0.9},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014311400009319186
10,4,0.2,0.3,{0.001},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029499299998860806
10,4,0.2,0.3,{0.001},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0324104999890551
10,4,0.2,0.3,{0.001},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029119900005753152
10,4,0.2,0.3,{0.001},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03372339998895768
10,4,0.2,0.3,{0.001},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.030859399994369596
10,4,0.2,0.3,{0.34},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014256499998737127
10,4,0.2,0.3,{0.34},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016444000008050352
10,4,0.2,0.3,{0.34},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.02408800000557676
10,4,0.2,0.3,{0.34},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.017813699989346787
10,4,0.2,0.3,{0.34},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0178310000046622
10,4,0.2,0.3,{0.5},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0142863000073703
10,4,0.2,0.3,{0.5},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.019561300010536797
10,4,0.2,0.3,{0.5},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.017231199992238544
10,4,0.2,0.3,{0.5},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014682900000480004
10,4,0.2,0.3,{0.5},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015868200003751554
10,4,0.2,0.3,{0.8},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014237300012609921
10,4,0.2,0.3,{0.8},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015695000009145588
10,4,0.2,0.3,{0.8},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01629759999923408
